REF_DATE,GEO,Products_and_product_groups,VALUE,Percent_Change
NOV2007,Alberta,"Recreation, education and reading",104.3,3.3
NOV2007,Alberta,Alcoholic beverages and tobacco products,126.1,7.3
NOV2007,Alberta,Energy,154.1,14.0
DEC2007,Alberta,All-items,118.9,4.1
DEC2007,Alberta,Food,110.4,0.3
DEC2007,Alberta,Shelter,145.4,8.8
DEC2007,Alberta,"Household operations, furnishings and equipment",104.9,1.9
DEC2007,Alberta,Clothing and footwear,96.9,-0.1
DEC2007,Alberta,Transportation,119.2,3.9
DEC2007,Alberta,Health and personal care,109.6,2.4
DEC2007,Alberta,"Recreation, education and reading",103.6,2.6
DEC2007,Alberta,Alcoholic beverages and tobacco products,126,6.1
DEC2007,Alberta,Energy,153,9.8
JAN2008,Alberta,All-items,118.8,3.6
JAN2008,Alberta,Food,111.1,0.4
JAN2008,Alberta,Shelter,146,8.7
JAN2008,Alberta,"Household operations, furnishings and equipment",104.2,1.0
JAN2008,Alberta,Clothing and footwear,96.5,-1.6
JAN2008,Alberta,Transportation,119.3,3.8
JAN2008,Alberta,Health and personal care,109.4,2.1
JAN2008,Alberta,"Recreation, education and reading",101.8,0.6
JAN2008,Alberta,Alcoholic beverages and tobacco products,126.1,5.4
JAN2008,Alberta,Energy,155.3,10.1
FEB2008,Alberta,All-items,119,3.5
FEB2008,Alberta,Food,111.6,0.0
FEB2008,Alberta,Shelter,146.4,9.4
FEB2008,Alberta,"Household operations, furnishings and equipment",103.9,-0.1
FEB2008,Alberta,Clothing and footwear,96.3,-3.3
FEB2008,Alberta,Transportation,118.6,3.0
FEB2008,Alberta,Health and personal care,109.5,1.6
FEB2008,Alberta,"Recreation, education and reading",102.7,0.8
FEB2008,Alberta,Alcoholic beverages and tobacco products,127.1,6.4
FEB2008,Alberta,Energy,155.2,13.0
MAR2008,Alberta,All-items,119.8,2.9
MAR2008,Alberta,Food,111.6,0.2
MAR2008,Alberta,Shelter,147.9,8.9
MAR2008,Alberta,"Household operations, furnishings and equipment",104.2,0.5
MAR2008,Alberta,Clothing and footwear,99.4,-2.4
MAR2008,Alberta,Transportation,119.6,0.5
MAR2008,Alberta,Health and personal care,109.2,1.9
MAR2008,Alberta,"Recreation, education and reading",103.4,1.2
MAR2008,Alberta,Alcoholic beverages and tobacco products,126.9,6.0
MAR2008,Alberta,Energy,162.6,8.5
APR2008,Alberta,All-items,121.3,3.2
APR2008,Alberta,Food,112.8,0.7
APR2008,Alberta,Shelter,150.9,9.3
APR2008,Alberta,"Household operations, furnishings and equipment",104.7,0.6
APR2008,Alberta,Clothing and footwear,97,-4.9
APR2008,Alberta,Transportation,122.4,1.6
APR2008,Alberta,Health and personal care,110.4,1.9
APR2008,Alberta,"Recreation, education and reading",104,1.6
APR2008,Alberta,Alcoholic beverages and tobacco products,126.9,4.8
APR2008,Alberta,Energy,176.7,12.4
MAY2008,Alberta,All-items,122.2,3.7
MAY2008,Alberta,Food,113.8,1.7
MAY2008,Alberta,Shelter,151.6,11.6
MAY2008,Alberta,"Household operations, furnishings and equipment",104.2,0.3
MAY2008,Alberta,Clothing and footwear,96.2,-3.5
MAY2008,Alberta,Transportation,125.2,1.3
MAY2008,Alberta,Health and personal care,110.4,1.7
MAY2008,Alberta,"Recreation, education and reading",105.1,0.8
MAY2008,Alberta,Alcoholic beverages and tobacco products,127,1.8
MAY2008,Alberta,Energy,184.6,20.8
JUN2008,Alberta,All-items,124,4.4
JUN2008,Alberta,Food,114.8,2.2
JUN2008,Alberta,Shelter,156,11.4
JUN2008,Alberta,"Household operations, furnishings and equipment",104.4,-0.1
JUN2008,Alberta,Clothing and footwear,96.1,-3.1
JUN2008,Alberta,Transportation,127.4,3.8
JUN2008,Alberta,Health and personal care,111.2,2.4
JUN2008,Alberta,"Recreation, education and reading",105.4,0.7
JUN2008,Alberta,Alcoholic beverages and tobacco products,127.7,1.5
JUN2008,Alberta,Energy,204.6,28.5
JUL2008,Alberta,All-items,123.3,3.5
JUL2008,Alberta,Food,115.4,2.7
JUL2008,Alberta,Shelter,152.8,8.7
JUL2008,Alberta,"Household operations, furnishings and equipment",104.5,-0.2
JUL2008,Alberta,Clothing and footwear,97.3,-1.9
JUL2008,Alberta,Transportation,126.9,3.7
JUL2008,Alberta,Health and personal care,111.2,2.6
JUL2008,Alberta,"Recreation, education and reading",105.6,-0.3
JUL2008,Alberta,Alcoholic beverages and tobacco products,127.5,1.4
JUL2008,Alberta,Energy,194.5,21.0
AUG2008,Alberta,All-items,124.1,4.0
AUG2008,Alberta,Food,116.6,4.1
AUG2008,Alberta,Shelter,156.9,9.1
AUG2008,Alberta,"Household operations, furnishings and equipment",104.5,-0.4
AUG2008,Alberta,Clothing and footwear,98.1,-0.9
AUG2008,Alberta,Transportation,125,4.3
AUG2008,Alberta,Health and personal care,111.2,2.1
AUG2008,Alberta,"Recreation, education and reading",105.4,-0.5
AUG2008,Alberta,Alcoholic beverages and tobacco products,127.9,2.2
AUG2008,Alberta,Energy,201.6,24.7
SEP2008,Alberta,All-items,122.8,2.8
SEP2008,Alberta,Food,116.8,5.0
SEP2008,Alberta,Shelter,150,4.8
SEP2008,Alberta,"Household operations, furnishings and equipment",106.4,1.5
SEP2008,Alberta,Clothing and footwear,98.6,-2.7
SEP2008,Alberta,Transportation,124.4,2.8
SEP2008,Alberta,Health and personal care,111.8,2.0
SEP2008,Alberta,"Recreation, education and reading",105.8,-0.1
SEP2008,Alberta,Alcoholic beverages and tobacco products,128.2,2.0
SEP2008,Alberta,Energy,179.7,13.5
OCT2008,Alberta,All-items,121.5,2.4
OCT2008,Alberta,Food,116.7,5.5
OCT2008,Alberta,Shelter,149.7,3.6
OCT2008,Alberta,"Household operations, furnishings and equipment",105.6,1.1
OCT2008,Alberta,Clothing and footwear,97.5,-1.9
OCT2008,Alberta,Transportation,119.5,1.9
OCT2008,Alberta,Health and personal care,112,2.6
OCT2008,Alberta,"Recreation, education and reading",104.7,-0.2
OCT2008,Alberta,Alcoholic beverages and tobacco products,128.8,2.5
OCT2008,Alberta,Energy,161.3,7.0
NOV2008,Alberta,All-items,121.6,2.1
NOV2008,Alberta,Food,118.6,7.3
NOV2008,Alberta,Shelter,151.6,4.3
NOV2008,Alberta,"Household operations, furnishings and equipment",106,1.5
NOV2008,Alberta,Clothing and footwear,96.9,-3.1
NOV2008,Alberta,Transportation,116.8,-1.8
NOV2008,Alberta,Health and personal care,112.2,2.4
NOV2008,Alberta,"Recreation, education and reading",103.6,-0.7
NOV2008,Alberta,Alcoholic beverages and tobacco products,129.1,2.4
NOV2008,Alberta,Energy,148.7,-3.5
DEC2008,Alberta,All-items,121.2,1.9
DEC2008,Alberta,Food,119.6,8.3
DEC2008,Alberta,Shelter,153,5.2
DEC2008,Alberta,"Household operations, furnishings and equipment",105.4,0.5
DEC2008,Alberta,Clothing and footwear,95.2,-1.8
DEC2008,Alberta,Transportation,113.5,-4.8
DEC2008,Alberta,Health and personal care,111.9,2.1
DEC2008,Alberta,"Recreation, education and reading",103.1,-0.5
DEC2008,Alberta,Alcoholic beverages and tobacco products,128.9,2.3
DEC2008,Alberta,Energy,142.7,-6.7
JAN2009,Alberta,All-items,120.2,1.2
JAN2009,Alberta,Food,119.8,7.8
JAN2009,Alberta,Shelter,150.3,2.9
JAN2009,Alberta,"Household operations, furnishings and equipment",105.6,1.3
JAN2009,Alberta,Clothing and footwear,96.9,0.4
JAN2009,Alberta,Transportation,111.7,-6.4
JAN2009,Alberta,Health and personal care,112.5,2.8
JAN2009,Alberta,"Recreation, education and reading",101.8,0.0
JAN2009,Alberta,Alcoholic beverages and tobacco products,129.2,2.5
JAN2009,Alberta,Energy,135.7,-12.6
FEB2009,Alberta,All-items,121.5,2.1
FEB2009,Alberta,Food,120.2,7.7
FEB2009,Alberta,Shelter,151.8,3.7
FEB2009,Alberta,"Household operations, furnishings and equipment",107.2,3.2
FEB2009,Alberta,Clothing and footwear,97.8,1.6
FEB2009,Alberta,Transportation,114,-3.9
FEB2009,Alberta,Health and personal care,112.4,2.6
FEB2009,Alberta,"Recreation, education and reading",103,0.3
FEB2009,Alberta,Alcoholic beverages and tobacco products,128.7,1.3
FEB2009,Alberta,Energy,146.5,-5.6
MAR2009,Alberta,All-items,120.9,0.9
MAR2009,Alberta,Food,120.9,8.3
MAR2009,Alberta,Shelter,148.6,0.5
MAR2009,Alberta,"Household operations, furnishings and equipment",107.3,3.0
MAR2009,Alberta,Clothing and footwear,99.1,-0.3
MAR2009,Alberta,Transportation,113.7,-4.9
MAR2009,Alberta,Health and personal care,112.2,2.7
MAR2009,Alberta,"Recreation, education and reading",103.4,0.0
MAR2009,Alberta,Alcoholic beverages and tobacco products,128.7,1.4
MAR2009,Alberta,Energy,137.4,-15.5
APR2009,Alberta,All-items,120.4,-0.7
APR2009,Alberta,Food,120.6,6.9
APR2009,Alberta,Shelter,146.3,-3.0
APR2009,Alberta,"Household operations, furnishings and equipment",107.2,2.4
APR2009,Alberta,Clothing and footwear,97.7,0.7
APR2009,Alberta,Transportation,113.7,-7.1
APR2009,Alberta,Health and personal care,113.9,3.2
APR2009,Alberta,"Recreation, education and reading",104.1,0.1
APR2009,Alberta,Alcoholic beverages and tobacco products,128.2,1.0
APR2009,Alberta,Energy,131.2,-25.7
MAY2009,Alberta,All-items,121.4,-0.7
MAY2009,Alberta,Food,121.3,6.6
MAY2009,Alberta,Shelter,145.8,-3.8
MAY2009,Alberta,"Household operations, furnishings and equipment",107.8,3.5
MAY2009,Alberta,Clothing and footwear,96.2,0.0
MAY2009,Alberta,Transportation,116.1,-7.3
MAY2009,Alberta,Health and personal care,114.2,3.4
MAY2009,Alberta,"Recreation, education and reading",106.2,1.0
MAY2009,Alberta,Alcoholic beverages and tobacco products,135.5,6.7
MAY2009,Alberta,Energy,133.5,-27.7
JUN2009,Alberta,All-items,122,-1.6
JUN2009,Alberta,Food,120.8,5.2
JUN2009,Alberta,Shelter,146.2,-6.3
JUN2009,Alberta,"Household operations, furnishings and equipment",107.6,3.1
JUN2009,Alberta,Clothing and footwear,96,-0.1
JUN2009,Alberta,Transportation,119,-6.6
JUN2009,Alberta,Health and personal care,115.2,3.6
JUN2009,Alberta,"Recreation, education and reading",106.3,0.9
JUN2009,Alberta,Alcoholic beverages and tobacco products,135.8,6.3
JUN2009,Alberta,Energy,141.4,-30.9
JUL2009,Alberta,All-items,121.5,-1.5
JUL2009,Alberta,Food,121.2,5.0
JUL2009,Alberta,Shelter,146.1,-4.4
JUL2009,Alberta,"Household operations, furnishings and equipment",107.6,3.0
JUL2009,Alberta,Clothing and footwear,94.4,-3.0
JUL2009,Alberta,Transportation,116.7,-8.0
JUL2009,Alberta,Health and personal care,115.2,3.6
JUL2009,Alberta,"Recreation, education and reading",106.6,0.9
JUL2009,Alberta,Alcoholic beverages and tobacco products,134.7,5.6
JUL2009,Alberta,Energy,137.4,-29.4
AUG2009,Alberta,All-items,122,-1.7
AUG2009,Alberta,Food,120.8,3.6
AUG2009,Alberta,Shelter,147.4,-6.1
AUG2009,Alberta,"Household operations, furnishings and equipment",107.7,3.1
AUG2009,Alberta,Clothing and footwear,97.1,-1.0
AUG2009,Alberta,Transportation,117,-6.4
AUG2009,Alberta,Health and personal care,114.7,3.1
AUG2009,Alberta,"Recreation, education and reading",106.7,1.2
AUG2009,Alberta,Alcoholic beverages and tobacco products,134.1,4.8
AUG2009,Alberta,Energy,143.9,-28.6
SEP2009,Alberta,All-items,121.5,-1.1
SEP2009,Alberta,Food,119.2,2.1
SEP2009,Alberta,Shelter,145.2,-3.2
SEP2009,Alberta,"Household operations, furnishings and equipment",108.4,1.9
SEP2009,Alberta,Clothing and footwear,98.4,-0.2
SEP2009,Alberta,Transportation,115.8,-6.9
SEP2009,Alberta,Health and personal care,120.1,7.4
SEP2009,Alberta,"Recreation, education and reading",107.4,1.5
SEP2009,Alberta,Alcoholic beverages and tobacco products,133.7,4.3
SEP2009,Alberta,Energy,136.2,-24.2
OCT2009,Alberta,All-items,121.6,0.1
OCT2009,Alberta,Food,119.5,2.4
OCT2009,Alberta,Shelter,145.4,-2.9
OCT2009,Alberta,"Household operations, furnishings and equipment",109.5,3.7
OCT2009,Alberta,Clothing and footwear,100.3,2.9
OCT2009,Alberta,Transportation,115.3,-3.5
OCT2009,Alberta,Health and personal care,120.1,7.2
OCT2009,Alberta,"Recreation, education and reading",106.5,1.7
OCT2009,Alberta,Alcoholic beverages and tobacco products,133.4,3.6
OCT2009,Alberta,Energy,133.1,-17.5
NOV2009,Alberta,All-items,122.6,0.8
NOV2009,Alberta,Food,120.4,1.5
NOV2009,Alberta,Shelter,147.9,-2.4
NOV2009,Alberta,"Household operations, furnishings and equipment",109.7,3.5
NOV2009,Alberta,Clothing and footwear,99.4,2.6
NOV2009,Alberta,Transportation,117,0.2
NOV2009,Alberta,Health and personal care,120,7.0
NOV2009,Alberta,"Recreation, education and reading",105.9,2.2
NOV2009,Alberta,Alcoholic beverages and tobacco products,133.6,3.5
NOV2009,Alberta,Energy,144.5,-2.8
DEC2009,Alberta,All-items,121.9,0.6
DEC2009,Alberta,Food,120.7,0.9
DEC2009,Alberta,Shelter,147.4,-3.7
DEC2009,Alberta,"Household operations, furnishings and equipment",107.4,1.9
DEC2009,Alberta,Clothing and footwear,96.1,0.9
DEC2009,Alberta,Transportation,116.9,3.0
DEC2009,Alberta,Health and personal care,120.2,7.4
DEC2009,Alberta,"Recreation, education and reading",105.3,2.1
DEC2009,Alberta,Alcoholic beverages and tobacco products,133.3,3.4
DEC2009,Alberta,Energy,141,-1.2
JAN2010,Alberta,All-items,122.3,1.7
JAN2010,Alberta,Food,121,1.0
JAN2010,Alberta,Shelter,148.5,-1.2
JAN2010,Alberta,"Household operations, furnishings and equipment",107.6,1.9
JAN2010,Alberta,Clothing and footwear,96.1,-0.8
JAN2010,Alberta,Transportation,118.8,6.4
JAN2010,Alberta,Health and personal care,119.9,6.6
JAN2010,Alberta,"Recreation, education and reading",103.4,1.6
JAN2010,Alberta,Alcoholic beverages and tobacco products,133.4,3.3
JAN2010,Alberta,Energy,148.3,9.3
FEB2010,Alberta,All-items,122.7,1.0
FEB2010,Alberta,Food,121.8,1.3
FEB2010,Alberta,Shelter,148.2,-2.4
FEB2010,Alberta,"Household operations, furnishings and equipment",106.9,-0.3
FEB2010,Alberta,Clothing and footwear,96,-1.8
FEB2010,Alberta,Transportation,117.9,3.4
FEB2010,Alberta,Health and personal care,119.9,6.7
FEB2010,Alberta,"Recreation, education and reading",107.9,4.8
FEB2010,Alberta,Alcoholic beverages and tobacco products,133.5,3.7
FEB2010,Alberta,Energy,144.5,-1.4
MAR2010,Alberta,All-items,122.1,1.0
MAR2010,Alberta,Food,122.3,1.2
MAR2010,Alberta,Shelter,146.7,-1.3
MAR2010,Alberta,"Household operations, furnishings and equipment",106.9,-0.4
MAR2010,Alberta,Clothing and footwear,97.7,-1.4
MAR2010,Alberta,Transportation,117.6,3.4
MAR2010,Alberta,Health and personal care,119.5,6.5
MAR2010,Alberta,"Recreation, education and reading",105.3,1.8
MAR2010,Alberta,Alcoholic beverages and tobacco products,133.5,3.7
MAR2010,Alberta,Energy,141.5,3.0
APR2010,Alberta,All-items,122.3,1.6
APR2010,Alberta,Food,122,1.2
APR2010,Alberta,Shelter,145.3,-0.7
APR2010,Alberta,"Household operations, furnishings and equipment",107.8,0.6
APR2010,Alberta,Clothing and footwear,98.7,1.0
APR2010,Alberta,Transportation,119,4.7
APR2010,Alberta,Health and personal care,121.1,6.3
APR2010,Alberta,"Recreation, education and reading",105.9,1.7
APR2010,Alberta,Alcoholic beverages and tobacco products,133.7,4.3
APR2010,Alberta,Energy,137.1,4.5
MAY2010,Alberta,All-items,122.7,1.1
MAY2010,Alberta,Food,121.6,0.2
MAY2010,Alberta,Shelter,145.6,-0.1
MAY2010,Alberta,"Household operations, furnishings and equipment",108.2,0.4
MAY2010,Alberta,Clothing and footwear,97.3,1.1
MAY2010,Alberta,Transportation,120.6,3.9
MAY2010,Alberta,Health and personal care,121.1,6.0
MAY2010,Alberta,"Recreation, education and reading",106.4,0.2
MAY2010,Alberta,Alcoholic beverages and tobacco products,133.5,-1.5
MAY2010,Alberta,Energy,138.9,4.0
JUN2010,Alberta,All-items,122.7,0.6
JUN2010,Alberta,Food,121.7,0.7
JUN2010,Alberta,Shelter,147.5,0.9
JUN2010,Alberta,"Household operations, furnishings and equipment",107.5,-0.1
JUN2010,Alberta,Clothing and footwear,95,-1.0
JUN2010,Alberta,Transportation,119.1,0.1
JUN2010,Alberta,Health and personal care,121.6,5.6
JUN2010,Alberta,"Recreation, education and reading",106.7,0.4
JUN2010,Alberta,Alcoholic beverages and tobacco products,133.9,-1.4
JUN2010,Alberta,Energy,140.8,-0.4
JUL2010,Alberta,All-items,123.3,1.5
JUL2010,Alberta,Food,122.3,0.9
JUL2010,Alberta,Shelter,149.7,2.5
JUL2010,Alberta,"Household operations, furnishings and equipment",107.6,0.0
JUL2010,Alberta,Clothing and footwear,94.3,-0.1
JUL2010,Alberta,Transportation,118,1.1
JUL2010,Alberta,Health and personal care,122.3,6.2
JUL2010,Alberta,"Recreation, education and reading",107.5,0.8
JUL2010,Alberta,Alcoholic beverages and tobacco products,133.9,-0.6
JUL2010,Alberta,Energy,149.2,8.6
AUG2010,Alberta,All-items,122.7,0.6
AUG2010,Alberta,Food,121.9,0.9
AUG2010,Alberta,Shelter,147.9,0.3
AUG2010,Alberta,"Household operations, furnishings and equipment",107.6,-0.1
AUG2010,Alberta,Clothing and footwear,94.9,-2.3
AUG2010,Alberta,Transportation,118,0.9
AUG2010,Alberta,Health and personal care,122.4,6.7
AUG2010,Alberta,"Recreation, education and reading",106.8,0.1
AUG2010,Alberta,Alcoholic beverages and tobacco products,133.3,-0.6
AUG2010,Alberta,Energy,145.1,0.8
SEP2010,Alberta,All-items,122.6,0.9
SEP2010,Alberta,Food,121.2,1.7
SEP2010,Alberta,Shelter,147.9,1.9
SEP2010,Alberta,"Household operations, furnishings and equipment",107.2,-1.1
SEP2010,Alberta,Clothing and footwear,96.6,-1.8
SEP2010,Alberta,Transportation,118.1,2.0
SEP2010,Alberta,Health and personal care,122.4,1.9
SEP2010,Alberta,"Recreation, education and reading",106.6,-0.7
SEP2010,Alberta,Alcoholic beverages and tobacco products,133.5,-0.1
SEP2010,Alberta,Energy,144.2,5.9
OCT2010,Alberta,All-items,123,1.2
OCT2010,Alberta,Food,121.8,1.9
OCT2010,Alberta,Shelter,147.7,1.6
OCT2010,Alberta,"Household operations, furnishings and equipment",108.5,-0.9
OCT2010,Alberta,Clothing and footwear,98.4,-1.9
OCT2010,Alberta,Transportation,118.9,3.1
OCT2010,Alberta,Health and personal care,122.6,2.1
OCT2010,Alberta,"Recreation, education and reading",105.8,-0.7
OCT2010,Alberta,Alcoholic beverages and tobacco products,133.7,0.2
OCT2010,Alberta,Energy,140.6,5.6
NOV2010,Alberta,All-items,122.7,0.1
NOV2010,Alberta,Food,122.3,1.6
NOV2010,Alberta,Shelter,147.1,-0.5
